Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
X5	DOID:4450	renal cell carcinoma	36/481	342/8007	0.000655423322559778	0.0208643091014863	0.0166730494335382	4035/7345/1994/332/2621/3910/7083/4683/7159/1612/4085/6502/3480/2952/5550/3455/3249/283/9370/4436/3479/947/1029/6772/27101/10395/27429/367/4582/8829/29072/57007/7021/6648/6347/6421	36
X5	DOID:2043	hepatitis B	24/481	197/8007	0.000700576031574041	0.0214096035249027	0.0171088041394924	6352/2114/7072/332/6502/3162/60489/5610/3667/355/10875/1230/100507436/3077/9370/1116/1029/6772/10395/367/6347/4088/64778/57506	24
X5	DOID:201	connective tissue cancer	38/481	370/8007	0.000750592406259543	0.0216248158691347	0.0172807842437285	6352/4035/7153/7345/332/4067/3383/2200/5925/11334/4085/3480/5914/2952/1902/8842/1385/1003/355/7799/100507436/1009/7177/7415/3479/947/1029/4162/6573/367/4582/6297/6648/9141/57125/55893/5361/1719	38
X5	DOID:4948	gallbladder carcinoma	10/481	51/8007	0.000764227785951095	0.0216248158691347	0.0172807842437285	7153/5925/6502/9308/355/4436/947/1029/8837/4582	10
X5	DOID:2513	basal cell carcinoma	7/481	27/8007	0.000836574330945026	0.0228265281729286	0.0182410944341397	6352/6280/3480/7507/1029/8837/4582	7
X5	DOID:3121	gallbladder cancer	10/481	52/8007	0.000896454614666491	0.0236169422622482	0.0188727287298209	7153/5925/6502/9308/355/4436/947/1029/8837/4582	10
X5	DOID:2316	brain ischemia	6/481	21/8007	0.00113800892553639	0.0289812939703266	0.0231594798881089	7072/1994/3480/355/185/6505	6
X5	DOID:2018	hyperinsulinism	10/481	54/8007	0.00121736461042848	0.0290695017126396	0.0232299683016409	6566/3383/133/9882/7412/3667/9370/3479/6772/6347	10
X5	DOID:1115	sarcoma	23/481	193/8007	0.00121757075236187	0.0290695017126396	0.0232299683016409	4035/7072/1994/332/5925/3480/4137/6790/8842/1385/283/4886/4436/23598/3479/947/1029/2948/4297/57007/6297/6648/55332	23
X5	DOID:263	kidney cancer	42/481	437/8007	0.00152147582303782	0.035224470569724	0.0281485160243041	4035/7345/1994/332/2621/3910/7083/4683/133/7159/1612/9988/4085/6502/3480/2487/2952/5550/3455/3249/283/9370/4436/3479/947/1029/6772/27101/10395/27429/367/4582/8829/29072/57007/8880/7021/6648/6347/79960/6421/958	42
X5	DOID:5683	hereditary breast ovarian cancer	25/481	222/8007	0.00170818415168129	0.0383839027024856	0.0306732757887044	7153/1994/1477/9475/196/4683/7158/5925/2189/6502/3480/2952/6790/1017/9221/7329/3479/1029/6772/367/6591/8315/8924/4088/1894	25
X5	DOID:13025	retinopathy of prematurity	4/481	10/8007	0.00201912735077316	0.0440746655997342	0.0352208680736371	6352/3480/7004/80155	4
X5	DOID:3908	non-small cell lung carcinoma	41/481	431/8007	0.00209475147800718	0.0444552813665968	0.0355250250656188	6352/3925/7153/1845/1889/332/9133/196/5925/1612/2591/6280/6502/3480/3162/2952/842/1846/8842/1385/1917/355/1890/3572/283/23405/7329/4436/5764/3479/1029/8837/10395/4582/57007/9037/8038/6648/1894/4915/51029	41
X5	DOID:3996	urinary system cancer	46/481	500/8007	0.00223909227181457	0.0462342296126036	0.0369466150114496	4035/7345/1994/332/2621/3910/7083/4683/133/7159/5925/1612/9988/4085/6502/3480/2487/2952/6790/5550/3455/3249/283/9370/4436/3479/947/1029/8837/6772/27101/10395/27429/367/4582/8829/29072/57007/6591/8880/7021/6648/6347/79960/6421/958	46
X5	DOID:1428	endocrine pancreas disease	10/481	59/8007	0.00244189149121756	0.0477892020668131	0.038189221822474	6566/3383/133/9882/7412/3667/9370/3479/6772/6347	10
X5	DOID:1074	kidney failure	19/481	156/8007	0.00246031445553399	0.0477892020668131	0.038189221822474	6352/6721/3383/1535/6280/5311/2952/3572/5167/185/9370/5627/6548/4162/6573/3075/9332/6347/958	19
X5	DOID:2349	arteriosclerosis	35/481	356/8007	0.0025476028847307	0.0477892020668131	0.038189221822474	6352/4035/3693/6721/1994/1889/2621/3383/196/133/1535/6280/3480/3162/2952/7412/7056/3572/185/1524/6403/9370/1116/3479/1029/4162/367/3075/9332/6648/6347/65997/83464/958/6376	35
X5	DOID:0050736	autosomal dominant disease	39/481	409/8007	0.00256460377583683	0.0477892020668131	0.038189221822474	7153/7345/1994/332/1477/3383/9475/2200/196/4683/7158/10059/5925/2189/6502/3480/2952/6790/1017/1385/3667/185/9221/7329/7248/3479/1029/6772/4772/367/4763/6654/6591/8315/7249/6347/8924/4088/1894	39
X5	DOID:1107	esophageal carcinoma	16/481	123/8007	0.00271239232155758	0.0493397079445236	0.0394282593108621	332/7158/1612/858/6280/4123/5914/355/7507/4436/1029/9590/4582/6648/6347/5918	16
X7	DOID:184	bone cancer	26/353	243/8007	2.31038597739973e-05	0.0154333783290302	0.0143973526170593	7184/10397/1843/2224/9184/648/1277/3685/5605/2947/2200/604/445/1009/4582/7430/7415/1634/6387/3486/7852/857/56888/56034/4869/2580	26
X7	DOID:3347	osteosarcoma	23/353	215/8007	6.90077783491783e-05	0.0230485979686256	0.0215013709382703	7184/10397/1843/2224/9184/648/1277/3685/5605/2947/2200/604/445/1009/7430/7415/1634/6387/3486/7852/857/4869/2580	23
X7	DOID:0060084	cell type benign neoplasm	38/353	475/8007	0.000231675831126458	0.0400596532277872	0.0373704927684368	37/1495/4953/2034/5111/3066/1514/706/1019/1277/573/7058/1289/9232/6424/7031/1009/4582/142/595/1312/3964/358/8773/6387/79068/3486/1462/7852/3572/6925/6934/1487/8991/2778/64759/57496/56034	38
X7	DOID:2994	germ cell cancer	34/353	410/8007	0.000257264922051104	0.0400596532277872	0.0373704927684368	10397/3838/5111/3295/10212/10095/648/573/8204/3485/9052/348/6424/2946/3336/4250/445/4582/595/900/3964/358/6387/3486/10362/57509/857/3572/966/10096/7503/52/4494/10451	34
X7	DOID:3459	breast carcinoma	32/353	383/8007	0.000343030730766408	0.0400596532277872	0.0373704927684368	7184/10397/4953/3838/7832/10181/648/3685/573/3485/9232/771/7033/7020/7031/9636/4250/4582/7415/595/1312/6387/3486/7852/857/11059/6009/2023/2778/57496/8289/4869	32
X7	DOID:4606	bile duct cancer	16/353	140/8007	0.000419786785321123	0.0400596532277872	0.0373704927684368	1843/648/5605/348/7033/7031/4582/55353/7430/595/358/6387/7852/857/3068/2778	16
X7	DOID:4897	bile duct carcinoma	16/353	140/8007	0.000419786785321123	0.0400596532277872	0.0373704927684368	1843/648/5605/348/7033/7031/4582/55353/7430/595/358/6387/7852/857/3068/2778	16
